TAXON_ORDER,ENAME,CNAME
24287,Lesser Whitethroat,白喉林鶯
24645,Indian White-eye,印度繡眼
24662,Warbling White-eye,日菲繡眼
24678,Swinhoe's White-eye,斯氏繡眼
24140,Japanese Bush Warbler,日本樹鶯
6216,Silver Gull,紐澳紅嘴鷗
28222,Taiwan Shortwing,小翼鶇
7642,Eastern Marsh-Harrier,東方澤鵟
7290,African Sacred Ibis,埃及聖䴉
7291,Madagascar Sacred Ibis,馬島聖䴉
7643,Papuan Marsh-Harrier,巴布亞澤鵟
12039,Red-collared Lorikeet,紅領吸蜜鸚鵡
12040,Rainbow Lorikeet,彩虹吸蜜鸚鵡
232,Lesser Whistling-Duck,樹鴨
246,Graylag Goose,灰雁
250,Swan Goose,鴻雁
253,Greater White-fronted Goose,白額雁
262,Lesser White-fronted Goose,小白額雁
264,Taiga Bean-Goose,寒林豆雁
268,Tundra Bean-Goose,凍原豆雁
275,Brant,黑雁
286,Cackling Goose,小加拿大雁
297,Canada Goose,加拿大雁
330,Mute Swan,疣鼻天鵝
331,Black Swan,黑天鵝
335,Tundra Swan,小天鵝
341,Whooper Swan,黃嘴天鵝
365,Egyptian Goose,埃及雁
368,Ruddy Shelduck,瀆鳧
372,Common Shelduck,花鳧
388,Muscovy Duck,疣鼻棲鴨(薑母鴨)
392,Cotton Pygmy-Goose,棉鴨
397,Wood Duck,林鴛鴦
399,Mandarin Duck,鴛鴦
415,Baikal Teal,巴鴨
416,Garganey,白眉鴨
434,Northern Shoveler,琵嘴鴨
438,Gadwall,赤膀鴨
442,Falcated Duck,羅文鴨
443,Eurasian Wigeon,赤頸鴨
445,American Wigeon,葡萄胸鴨
465,Philippine Duck,呂宋鴨
469,Eastern Spot-billed Duck,花嘴鴨
471,Mallard,綠頭鴨
514,Northern Pintail,尖尾鴨
529,Green-winged Teal,小水鴨
569,Red-crested Pochard,赤嘴潛鴨
575,Canvasback,帆背潛鴨
579,Common Pochard,紅頭潛鴨
583,Ferruginous Duck,白眼潛鴨
586,Baer's Pochard,青頭潛鴨
591,Tufted Duck,鳳頭潛鴨
596,Greater Scaup,斑背潛鴨
602,Lesser Scaup,小斑背潛鴨
640,Long-tailed Duck,長尾鴨
642,Common Goldeneye,鵲鴨
650,Smew,白秋沙
658,Common Merganser,川秋沙
666,Red-breasted Merganser,紅胸秋沙
670,Scaly-sided Merganser,唐秋沙
1092,Taiwan Partridge,台灣山鷓鴣
1139,Indian Peafowl,藍孔雀
1185,Blue-breasted Quail,小鵪鶉
1197,Japanese Quail,鵪鶉
1345,Chinese Bamboo-Partridge,灰胸竹雞
1346,Taiwan Bamboo-Partridge,台灣竹雞
1430,Mikado Pheasant,黑長尾雉
1435,Golden Pheasant,紅腹錦雞
1436,Lady Amherst's Pheasant,白腹錦雞
1437,Ring-necked Pheasant,環頸雉
1514,Swinhoe's Pheasant,藍腹鷴
1716,American Flamingo,美洲红鸛
1717,Greater Flamingo,大紅鸛
1729,Little Grebe,小鸊鷉
1767,Horned Grebe,角鸊鷉
1770,Red-necked Grebe,赤頸鸊鷉
1773,Great Crested Grebe,冠鸊鷉
1777,Eared Grebe,黑頸鸊鷉
1798,Rock Pigeon,野鴿
1861,Ashy Wood-Pigeon,灰林鴿
1867,Japanese Wood-Pigeon,黑林鴿
1952,European Turtle-Dove,歐斑鳩
1959,Oriental Turtle-Dove,金背鳩
1968,Eurasian Collared-Dove,灰斑鳩
1994,Red Collared-Dove,紅鳩
2004,Spotted Dove,珠頸斑鳩
2016,Barred Cuckoo-Dove,斑尾鵑鳩
2049,Philippine Cuckoo-Dove,長尾鳩
2097,Asian Emerald Dove,翠翼鳩
2165,Zebra Dove,斑馬鳩
2414,Orange-breasted Green-Pigeon,橙胸綠鳩
2429,Thick-billed Green-Pigeon,厚嘴綠鳩
2485,White-bellied Green-Pigeon,綠鳩
2489,Whistling Green-Pigeon,紅頭綠鳩
2523,Black-chinned Fruit-Dove,小綠鳩
3023,Greater Coucal,褐翅鴉鵑
3042,Lesser Coucal,番鵑
3103,Chestnut-winged Cuckoo,冠郭公
3106,Pied Cuckoo,斑翅鳳頭鵑
3168,Asian Koel,噪鵑
3255,Plaintive Cuckoo,八聲杜鵑
3286,Fork-tailed Drongo-Cuckoo,烏鵑
3293,Square-tailed Drongo-Cuckoo,方尾烏鵑
3300,Large Hawk-Cuckoo,鷹鵑
3307,Northern Hawk-Cuckoo,北方鷹鵑
3309,Hodgson's Hawk-Cuckoo,棕腹鷹鵑
3316,Lesser Cuckoo,小杜鵑
3318,Indian Cuckoo,四聲杜鵑
3324,Himalayan Cuckoo,喜馬拉雅中杜鵑
3326,Common Cuckoo,大杜鵑
3332,Oriental Cuckoo,北方中杜鵑
3551,Gray Nightjar,普通夜鷹
3623,Savanna Nightjar,南亞夜鷹
3794,White-throated Needletail,白喉針尾雨燕
3797,Silver-backed Needletail,灰喉針尾雨燕
3804,Purple Needletail,紫針尾雨燕
3884,Himalayan Swiftlet,短嘴金絲燕
3940,Germain's Swiftlet,傑曼氏金絲燕
4001,Pacific Swift,叉尾雨燕
4006,Cook's Swift,庫克氏雨燕
4018,House Swift,小雨燕
5122,Brown-cheeked Rail,東亞秧雞
5141,Slaty-breasted Rail,灰胸秧雞
5267,Spotted Crake,斑胸秧雞
5274,Eurasian Moorhen,紅冠水雞
5299,Eurasian Coot,白冠雞
5329,Black-backed Swamphen,紫水雞
5341,Gray-headed Swamphen,灰頭紫水雞
5354,Watercock,董雞
5357,White-breasted Waterhen,白腹秧雞
5368,White-browed Crake,白眉秧雞
5386,Red-legged Crake,紅腳秧雞
5387,Slaty-legged Crake,灰腳秧雞
5396,Ruddy-breasted Crake,緋秧雞
5401,Band-bellied Crake,斑脇秧雞
5402,Brown Crake,紅腳苦惡鳥
5407,Baillon's Crake,小秧雞
5508,Demoiselle Crane,簑羽鶴
5511,Siberian Crane,白鶴
5512,Sandhill Crane,沙丘鶴
5526,White-naped Crane,白枕鶴
5527,Common Crane,灰鶴
5529,Hooded Crane,白頭鶴
5534,Red-crowned Crane,丹頂鶴
5570,Black-winged Stilt,高蹺鴴
5584,Pied Avocet,反嘴鴴
5591,Eurasian Oystercatcher,蠣鴴
5615,Black-bellied Plover,灰斑鴴
5619,American Golden-Plover,美洲金斑鴴
5620,Pacific Golden-Plover,太平洋金斑鴴
5627,Northern Lapwing,小辮鴴
5653,Gray-headed Lapwing,跳鴴
5678,Lesser Sand-Plover,蒙古鴴
5686,Greater Sand-Plover,鐵嘴鴴
5701,Kentish Plover,東方環頸鴴
5717,Common Ringed Plover,環頸鴴
5722,Long-billed Plover,劍鴴
5725,Little Ringed Plover,小環頸鴴
5747,Oriental Plover,東方紅胸鴴
5774,Greater Painted-Snipe,彩鷸
5784,Pheasant-tailed Jacana,水雉
5803,Whimbrel,中杓鷸
5809,Little Curlew,小杓鷸
5814,Far Eastern Curlew,黦鷸
5816,Eurasian Curlew,大杓鷸
5822,Bar-tailed Godwit,斑尾鷸
5827,Black-tailed Godwit,黑尾鷸
5836,Ruddy Turnstone,翻石鷸
5844,Great Knot,大濱鷸
5845,Red Knot,紅腹濱鷸
5855,Ruff,流蘇鷸
5856,Broad-billed Sandpiper,寬嘴鷸
5859,Sharp-tailed Sandpiper,尖尾濱鷸
5860,Stilt Sandpiper,高蹺濱鷸
5861,Curlew Sandpiper,彎嘴濱鷸
5862,Temminck's Stint,丹氏濱鷸
5863,Long-toed Stint,長趾濱鷸
5864,Spoon-billed Sandpiper,琵嘴鷸
5865,Red-necked Stint,紅胸濱鷸
5866,Sanderling,三趾濱鷸
5867,Dunlin,黑腹濱鷸
5890,Little Stint,小濱鷸
5895,Buff-breasted Sandpiper,黃胸鷸
5897,Pectoral Sandpiper,美洲尖尾濱鷸
5901,Western Sandpiper,西濱鷸
5905,Asian Dowitcher,半蹼鷸
5910,Long-billed Dowitcher,長嘴半蹼鷸
5912,Jack Snipe,小鷸
5913,Eurasian Woodcock,山鷸
5932,Solitary Snipe,孤田鷸
5935,Latham's Snipe,大地鷸
5938,Common Snipe,田鷸
5950,Pin-tailed Snipe,針尾鷸
5952,Swinhoe's Snipe,中地鷸
5963,Terek Sandpiper,反嘴鷸
